time,x,y,z
69900,0.03,0.0,-0.86
70000,0.05,0.0,-0.88
70100,0.04,0.01,-0.87
70200,0.03,0.01,-0.86
70300,0.04,0.01,-0.87
70400,0.03,0.0,-0.87
70500,0.03,0.0,-0.87
70600,0.04,0.01,-0.87
70700,0.02,0.02,-0.87
70800,0.03,0.01,-0.87
70900,0.04,0.0,-0.87
71000,0.04,0.0,-0.86
71100,0.03,0.0,-0.85
71200,0.04,-0.01,-0.77
71300,0.03,0.01,-0.87
71400,0.03,0.0,-0.86
71500,0.03,0.0,-0.88
71600,0.04,0.0,-0.88
71700,0.04,0.03,-0.86
71800,0.02,0.01,-0.85
71900,0.05,0.01,-0.87
72000,0.04,0.0,-0.87
72100,0.04,0.0,-0.86
72200,0.04,0.0,-0.87
72300,0.04,0.0,-0.88
72400,0.04,0.0,-0.86
72500,0.04,0.0,-0.86
72600,0.04,-0.0,-0.86
72700,0.05,0.0,-0.87
72800,0.04,0.0,-0.86
72900,0.04,0.01,-0.88
73000,0.03,0.02,-0.87
73100,0.04,0.0,-0.87
73200,0.03,0.01,-0.87
73300,0.05,0.01,-0.92
73400,0.04,0.0,-0.86
73500,0.04,0.0,-0.88
73600,0.04,0.02,-0.86
73700,0.05,-0.02,-0.8
73800,0.04,0.01,-0.88
73900,0.04,0.01,-0.88
74000,0.04,0.0,-0.86
74100,0.05,0.01,-0.88
74200,0.04,0.01,-0.87
74300,0.03,0.01,-0.86
74400,0.04,0.01,-0.88
74500,0.03,0.0,-0.87
74600,0.04,0.0,-0.87
74700,0.04,0.0,-0.87
74800,0.04,0.0,-0.87
74900,0.03,0.01,-0.87
75000,0.02,0.01,-0.87
75100,0.04,0.0,-0.87
75200,0.05,0.0,-0.87
75300,0.04,0.0,-0.86
75400,0.05,0.0,-0.87
75500,0.05,0.0,-0.88
75600,0.03,0.01,-0.86
75700,0.03,0.0,-0.86
75800,0.04,0.02,-0.88
75900,0.03,0.01,-0.84
76000,0.04,0.0,-0.88
76100,0.04,0.0,-0.87
76200,0.04,0.01,-0.87
76300,0.04,0.0,-0.88
76400,0.04,0.01,-0.87
76500,0.04,0.0,-0.87
76600,0.04,0.0,-0.87
76700,0.04,0.01,-0.87
76800,0.04,0.01,-0.88
76900,0.03,0.0,-0.85
77000,0.04,0.0,-0.87
77100,0.04,0.01,-0.87
77200,0.03,0.01,-0.87
77300,0.04,0.0,-0.87
77400,0.03,0.01,-0.87
77500,0.04,0.0,-0.86
77600,0.04,0.0,-0.89
77700,0.03,0.01,-0.86
77800,0.04,0.0,-0.87
77900,0.03,0.01,-0.86
78000,0.04,0.0,-0.86
78100,0.03,-0.01,-0.85
78200,0.04,0.01,-0.86
78300,0.04,0.0,-0.84
78400,0.04,0.0,-0.86
78500,0.03,0.02,-0.86
78600,0.04,0.02,-0.88
78700,0.04,0.02,-0.87
78800,0.04,0.0,-0.88
78900,0.04,0.0,-0.87
79000,0.03,0.0,-0.88
79100,0.04,0.0,-0.86
79200,0.04,0.01,-0.87
79300,0.04,0.02,-0.88
79400,0.04,0.01,-0.86
79500,0.04,0.0,-0.88
79600,0.03,0.0,-0.85
79700,0.04,0.0,-0.86
79800,0.04,0.0,-0.89
79900,0.03,0.01,-0.86
80000,0.04,0.0,-0.87
80100,0.03,0.01,-0.86
80200,0.04,0.0,-0.87
80300,0.04,0.01,-0.86
80400,0.03,0.01,-0.85
80500,0.0,0.02,-0.82
80600,0.05,0.0,-0.87
80700,0.04,0.01,-0.87
80800,0.04,0.0,-0.86
80900,0.03,0.01,-0.86
81000,0.04,0.01,-0.86
81100,0.04,0.01,-0.87
81200,0.04,0.01,-0.87
81300,0.05,0.0,-0.86
81400,0.04,0.0,-0.87
81500,0.04,0.01,-0.87
81600,0.04,0.0,-0.87
81700,0.04,0.01,-0.87
81800,0.04,0.0,-0.87
81900,0.06,0.01,-0.87
82000,0.05,-0.0,-0.87
82100,0.04,-0.02,-0.82
82200,0.04,0.0,-0.88
82300,0.04,0.0,-0.87
82400,0.03,0.03,-0.87
82500,0.03,0.02,-0.87
82600,0.04,0.01,-0.87
82700,0.05,0.0,-0.86
82800,0.02,0.01,-0.86
82900,0.04,0.0,-0.87
83000,0.03,0.0,-0.83
83100,0.04,0.01,-0.86
83200,0.04,0.0,-0.88
83300,0.04,0.0,-0.9
83400,0.04,0.0,-0.86
83500,0.04,0.01,-0.88
83600,0.03,0.01,-0.87
83700,0.04,-0.01,-0.89
83800,0.0,0.06,-0.88
83900,0.03,0.02,-0.88
84000,0.06,0.0,-0.89
84100,0.04,-0.0,-0.87
84200,0.02,0.01,-0.87
84300,0.03,0.0,-0.87
84400,0.03,0.0,-0.86
84500,0.04,0.01,-0.88
84600,0.04,0.0,-0.87
84700,0.04,0.0,-0.87
84800,0.04,0.0,-0.89
84900,0.05,0.01,-0.91
85000,0.04,0.01,-0.87
85100,0.04,0.0,-0.87
85200,0.03,0.01,-0.87
85300,0.03,0.01,-0.87
85400,0.03,0.01,-0.86
85500,0.03,0.01,-0.88
85600,0.04,0.02,-0.84
85700,0.04,0.0,-0.87
85800,0.04,0.01,-0.87
85900,0.04,0.0,-0.88
86000,0.04,0.0,-0.87
86100,0.03,0.0,-0.86
86200,0.03,-0.0,-0.91
86300,0.03,0.01,-0.85
86400,0.04,0.01,-0.88
86500,0.04,0.0,-0.87
86600,0.04,0.0,-0.85
86700,0.03,0.01,-0.88
86800,0.04,0.0,-0.87
86900,0.02,0.01,-0.87
